STATE,2017,2018,PLUS
Alabama,4887871,3798031,77.7
Alaska,737438,553622,75.1
Arizona,7171646,5528989,77.1
Arkansas,3013825,2310645,76.7
California,39557045,30567090,77.3
Colorado,5695564,4430329,77.8
Connecticut,3572665,2837472,79.4
Delaware,967171,763555,78.9
District of Columbia,702455,574961,81.9
Florida,21299325,17070244,80.1
Georgia,10519475,8013724,76.2
Hawaii,1420491,1117077,78.6
Idaho,1754208,1307236,74.5
Illinois,12741080,9883814,77.6
Indiana,6691878,5123748,76.6
Iowa,3156145,2425378,76.8
Kansas,2911505,2205544,75.8
Kentucky,4468402,3459573,77.4
Louisiana,4659978,3564062,76.5
Maine,1338404,1088000,81.3
Maryland,6042718,4702570,77.8
Massachusetts,6902149,5535291,80.2
Michigan,9995915,7831247,78.3
Minnesota,5611179,4308564,76.8
Mississippi,2986530,2280389,76.4
Missouri,6126452,4749622,77.5
Montana,1062305,832871,78.4
Nebraska,1929268,1452427,75.3
Nevada,3034392,2345395,77.3
New Hampshire,1356458,1098288,81
New Jersey,8908520,6954877,78.1
New Mexico,2095428,1613275,77
New York,19542209,15474107,79.2
North Carolina,10383620,8082975,77.8
North Dakota,760077,581379,76.5
Ohio,11689442,9096117,77.8
Oklahoma,3943079,2986593,75.7
Oregon,4190713,3317146,79.2
Pennsylvania,12807060,10158149,79.3
Rhode Island,1057315,852102,80.6
South Carolina,5084127,3978182,78.2
South Dakota,882235,664629,75.3
Tennessee,6770010,5263790,77.8
Texas,28701845,21303746,74.2
Utah,3161105,2228643,70.5
Vermont,626299,510326,81.5
Virginia,8517685,6647893,78
Washington,7535591,5872306,77.9
West Virginia,1805832,1441672,79.8
Wisconsin,5813568,4537465,78
Wyoming,577737,442962,76.7
Puerto Rico Commonwealth,3195153,2601142,81.4
